Execução    Período (ms)     Jitter (ms)
     423          30.296           0.296
     424          30.264           0.264
     425          30.424           0.424
     426          30.291           0.291
     427          30.273           0.273
     428          30.143           0.143
     429          30.359           0.359
     430          30.284           0.284
     431          30.351           0.351
     432          30.374           0.374
     433          30.386           0.386
     434          30.390           0.390
     435          30.272           0.272
     436          30.383           0.383
     437          30.431           0.431
     438          30.127           0.127
     439          30.383           0.383
     440          30.401           0.401
     441          30.275           0.275
     442          30.108           0.108
     443          30.069           0.069
     444          30.446           0.446
     445          30.381           0.381
     446          30.210           0.210
     447          30.261           0.261
     448          30.106           0.106
     449          30.118           0.118
     450          30.114           0.114
     451          30.292           0.292
     452          30.284           0.284
     453          30.326           0.326
     454          30.117           0.117
     455          30.384           0.384
     456          30.278           0.278
     457          30.272           0.272
     458          30.122           0.122
     459          30.291           0.291
     460          30.380           0.380
     461          30.165           0.165
     462          30.267           0.267
     463          30.231           0.231
     464          30.385           0.385
     465          30.383           0.383
     466          30.128           0.128
     467          30.105           0.105
     468          30.271           0.271
     469          30.092           0.092
     470          30.370           0.370
     471          30.409           0.409
     472          30.389           0.389
     473          30.280           0.280
     474          30.433           0.433
     475          30.383           0.383
     476          30.283           0.283
     477          30.178           0.178
     478          30.377           0.377
     479          30.370           0.370
     480          30.399           0.399
     481          30.270           0.270
     482          30.391           0.391
     483          30.245           0.245
     484          30.269           0.269
     485          30.115           0.115
     486          30.291           0.291
     487          30.397           0.397
     488          30.228           0.228
     489          30.385           0.385
     490          30.272           0.272
     491          30.250           0.250
     492          30.274           0.274
     493          30.389           0.389
     494          30.393           0.393
     495          30.255           0.255
     496          30.389           0.389
     497          30.268           0.268
     498          30.342           0.342
     499          30.390           0.390
     500          30.264           0.264
     501          30.104           0.104
     502          30.375           0.375
     503          30.386           0.386
     504          30.422           0.422
     505          30.405           0.405
     506          30.116           0.116
     507          30.366           0.366
     508          30.276           0.276
     509          30.280           0.280
     510          30.428           0.428
     511          30.242           0.242
     512          30.287           0.287
     513          30.403           0.403
     514          30.390           0.390
     515          30.465           0.465
     516          30.122           0.122
     517          30.282           0.282
     518          30.373           0.373
